,year,userId,movieId,rating,timestamp,title,genres
0,1900,2808865,2808865,2808865,2808865,2808865,2808865
1,1995,1497480,1497480,1497480,1497480,1497480,1497480
2,1994,1302810,1302810,1302810,1302810,1302810,1302810
3,1999,1123964,1123964,1123964,1123964,1123964,1123964
4,1996,1109840,1109840,1109840,1109840,1109840,1109840
5,2000,966868,966868,966868,966868,966868,966868
6,1997,934046,934046,934046,934046,934046,934046
7,1993,930730,930730,930730,930730,930730,930730
8,2001,901937,901937,901937,901937,901937,901937
9,1998,892328,892328,892328,892328,892328,892328
10,2002,817654,817654,817654,817654,817654,817654
11,2004,801506,801506,801506,801506,801506,801506
12,2003,721216,721216,721216,721216,721216,721216
13,2006,587127,587127,587127,587127,587127,587127
14,2007,550724,550724,550724,550724,550724,550724
15,2005,534645,534645,534645,534645,534645,534645
16,2008,518195,518195,518195,518195,518195,518195
17,1992,488672,488672,488672,488672,488672,488672
18,2009,484963,484963,484963,484963,484963,484963
19,1989,481593,481593,481593,481593,481593,481593
20,1990,478861,478861,478861,478861,478861,478861
21,2010,443799,443799,443799,443799,443799,443799
22,1991,418339,418339,418339,418339,418339,418339
23,1988,373687,373687,373687,373687,373687,373687
24,1987,372326,372326,372326,372326,372326,372326
25,1986,370595,370595,370595,370595,370595,370595
26,1984,354912,354912,354912,354912,354912,354912
27,1985,302179,302179,302179,302179,302179,302179
28,1982,265712,265712,265712,265712,265712,265712
29,1980,239248,239248,239248,239248,239248,239248
30,1983,214015,214015,214015,214015,214015,214015
31,1981,211956,211956,211956,211956,211956,211956
32,1979,195095,195095,195095,195095,195095,195095
33,1975,162761,162761,162761,162761,162761,162761
34,1977,147709,147709,147709,147709,147709,147709
35,1971,135955,135955,135955,135955,135955,135955
36,1978,120229,120229,120229,120229,120229,120229
37,1973,118386,118386,118386,118386,118386,118386
38,1974,116545,116545,116545,116545,116545,116545
39,1968,110844,110844,110844,110844,110844,110844
40,1976,109163,109163,109163,109163,109163,109163
41,1972,104393,104393,104393,104393,104393,104393
42,1964,96472,96472,96472,96472,96472,96472
43,1967,88417,88417,88417,88417,88417,88417
44,1962,76975,76975,76975,76975,76975,76975
45,1954,71084,71084,71084,71084,71084,71084
46,1963,70632,70632,70632,70632,70632,70632
47,1959,70290,70290,70290,70290,70290,70290
48,1960,68972,68972,68972,68972,68972,68972
49,1957,62974,62974,62974,62974,62974,62974
50,1961,59442,59442,59442,59442,59442,59442
51,1970,59111,59111,59111,59111,59111,59111
52,1969,55564,55564,55564,55564,55564,55564
53,1965,54413,54413,54413,54413,54413,54413
54,1966,51517,51517,51517,51517,51517,51517
55,1955,48986,48986,48986,48986,48986,48986
56,1958,48789,48789,48789,48789,48789,48789
57,1951,47680,47680,47680,47680,47680,47680
58,1953,42369,42369,42369,42369,42369,42369
59,1950,42186,42186,42186,42186,42186,42186
60,1956,35369,35369,35369,35369,35369,35369
61,1952,26981,26981,26981,26981,26981,26981
